Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
04/09/2023,14:51:23,0.00,0.00,0.00,0.00,0.00
04/09/2023,14:51:24,0.00,0.00,0.00,0.00,0.00
04/09/2023,14:51:25,0.00,0.00,0.00,0.00,0.00
04/09/2023,14:51:26,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:52,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:53,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:57,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:58,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:02:59,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:00,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:01,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:02,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:03,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:04,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:05,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:06,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:07,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:08,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:09,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:10,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:11,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:12,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:13,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:14,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:15,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:16,0.00,0.00,0.00,0.00,0.00
04/09/2023,15:03:17,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:20,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:21,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:22,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:23,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:24,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:25,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:26,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:27,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:31:28,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:37,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:38,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:39,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:40,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:41,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:49,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:52,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:32:57,0.00,0.00,0.00,0.00,0.00
