Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out,PowerSetSpecPower,SpecificPower
07/09/2023,08:57:51,-,-,-,-,-,-,-
07/09/2023,08:57:52,-,-,-,-,-,-,-
07/09/2023,08:57:53,-,-,-,-,-,-,-
07/09/2023,08:57:54,-,-,-,-,-,-,-
07/09/2023,08:57:55,-,-,-,-,-,-,-
07/09/2023,08:57:56,-,-,-,-,-,-,-
07/09/2023,08:57:57,-,-,-,-,-,-,-
07/09/2023,08:57:58,-,-,-,-,-,-,-
07/09/2023,08:57:59,-,-,-,-,-,-,-
07/09/2023,08:58:00,-,-,-,-,-,-,-
07/09/2023,08:58:01,-,-,-,-,-,-,-
07/09/2023,08:58:02,-,-,-,-,-,-,-
07/09/2023,08:58:03,-,-,-,-,-,-,-
07/09/2023,08:58:04,-,-,-,-,-,-,-
07/09/2023,09:04:53,-,-,-,-,-,-,-
07/09/2023,09:04:54,-,-,-,-,-,-,-
07/09/2023,09:04:55,-,-,-,-,-,-,-
07/09/2023,09:04:56,-,-,-,-,-,-,-
07/09/2023,09:04:57,-,-,-,-,-,-,-
07/09/2023,09:04:58,-,-,-,-,-,-,-
07/09/2023,09:04:59,-,-,-,-,-,-,-
07/09/2023,09:05:00,-,-,-,-,-,-,-
07/09/2023,09:05:01,-,-,-,-,-,-,-
07/09/2023,09:05:02,-,-,-,-,-,-,-
07/09/2023,09:05:03,-,-,-,-,-,-,-
07/09/2023,09:05:04,-,-,-,-,-,-,-
07/09/2023,09:05:05,-,-,-,-,-,-,-
07/09/2023,09:05:06,-,-,-,-,-,-,-
07/09/2023,09:05:07,-,-,-,-,-,-,-
07/09/2023,09:05:08,-,-,-,-,-,-,-
07/09/2023,09:05:09,-,-,-,-,-,-,-
07/09/2023,09:05:10,-,-,-,-,-,-,-
07/09/2023,09:05:11,-,-,-,-,-,-,-
07/09/2023,09:05:12,-,-,-,-,-,-,-
07/09/2023,09:05:13,-,-,-,-,-,-,-
07/09/2023,09:05:14,-,-,-,-,-,-,-
07/09/2023,09:07:41,-,-,-,-,-,-,-
07/09/2023,09:07:42,-,-,-,-,-,-,-
07/09/2023,09:07:43,-,-,-,-,-,-,-
07/09/2023,09:07:44,-,-,-,-,-,-,-
07/09/2023,09:07:45,-,-,-,-,-,-,-
07/09/2023,09:07:46,-,-,-,-,-,-,-
07/09/2023,09:07:51,-,-,-,-,-,-,-
07/09/2023,09:07:52,-,-,-,-,-,-,-
07/09/2023,09:07:53,-,-,-,-,-,-,-
07/09/2023,09:07:54,-,-,-,-,-,-,-
07/09/2023,09:07:55,-,-,-,-,-,-,-
07/09/2023,09:07:56,-,-,-,-,-,-,-
07/09/2023,09:08:13,-,-,-,-,-,-,-
07/09/2023,09:08:14,-,-,-,-,-,-,-
07/09/2023,09:08:18,-,-,-,-,-,-,-
07/09/2023,09:08:19,-,-,-,-,-,-,-
07/09/2023,09:08:20,-,-,-,-,-,-,-
07/09/2023,09:08:21,-,-,-,-,-,-,-
07/09/2023,09:08:22,-,-,-,-,-,-,-
07/09/2023,09:08:23,-,-,-,-,-,-,-
07/09/2023,09:08:24,-,-,-,-,-,-,-
07/09/2023,09:08:25,-,-,-,-,-,-,-
07/09/2023,09:08:26,-,-,-,-,-,-,-
07/09/2023,09:08:38,-,-,-,-,-,-,-
07/09/2023,09:08:39,-,-,-,-,-,-,-
07/09/2023,09:08:40,-,-,-,-,-,-,-
07/09/2023,09:08:41,-,-,-,-,-,-,-
07/09/2023,09:08:42,-,-,-,-,-,-,-
07/09/2023,09:10:16,-,-,-,-,-,-,-
07/09/2023,09:10:17,-,-,-,-,-,-,-
07/09/2023,09:10:18,-,-,-,-,-,-,-
07/09/2023,09:10:19,-,-,-,-,-,-,-
07/09/2023,09:12:44,-,-,-,-,-,-,-
07/09/2023,09:12:45,-,-,-,-,-,-,-
07/09/2023,09:12:46,-,-,-,-,-,-,-
07/09/2023,09:12:47,-,-,-,-,-,-,-
07/09/2023,09:20:44,-,-,-,-,-,-,-
07/09/2023,09:20:45,-,-,-,-,-,-,-
07/09/2023,09:20:46,-,-,-,-,-,-,-
07/09/2023,09:20:47,-,-,-,-,-,-,-
07/09/2023,09:20:48,-,-,-,-,-,-,-
07/09/2023,09:20:49,-,-,-,-,-,-,-
07/09/2023,09:20:50,-,-,-,-,-,-,-
07/09/2023,09:20:51,-,-,-,-,-,-,-
07/09/2023,09:20:52,-,-,-,-,-,-,-
07/09/2023,09:20:53,-,-,-,-,-,-,-
07/09/2023,09:20:54,-,-,-,-,-,-,-
07/09/2023,09:20:55,-,-,-,-,-,-,-
07/09/2023,09:20:56,-,-,-,-,-,-,-
07/09/2023,09:20:57,-,-,-,-,-,-,-
07/09/2023,09:20:58,-,-,-,-,-,-,-
07/09/2023,09:20:59,-,-,-,-,-,-,-
07/09/2023,09:21:00,-,-,-,-,-,-,-
07/09/2023,09:21:01,-,-,-,-,-,-,-
07/09/2023,09:21:02,-,-,-,-,-,-,-
07/09/2023,09:21:03,-,-,-,-,-,-,-
07/09/2023,09:21:04,-,-,-,-,-,-,-
07/09/2023,09:26:26,-,-,-,-,-,-,-
07/09/2023,09:26:27,-,-,-,-,-,-,-
07/09/2023,09:26:28,-,-,-,-,-,-,-
07/09/2023,09:54:45,-,-,-,-,-,-,-
07/09/2023,09:54:46,-,-,-,-,-,-,-
07/09/2023,09:54:47,-,-,-,-,-,-,-
07/09/2023,09:54:48,-,-,-,-,-,-,-
07/09/2023,09:54:49,-,-,-,-,-,-,-
07/09/2023,09:54:50,-,-,-,-,-,-,-
07/09/2023,09:54:51,-,-,-,-,-,-,-
07/09/2023,09:54:52,-,-,-,-,-,-,-
07/09/2023,09:54:53,-,-,-,-,-,-,-
07/09/2023,09:54:54,-,-,-,-,-,-,-
07/09/2023,09:54:55,-,-,-,-,-,-,-
07/09/2023,09:54:56,-,-,-,-,-,-,-
07/09/2023,09:54:57,-,-,-,-,-,-,-
07/09/2023,09:54:58,-,-,-,-,-,-,-
07/09/2023,09:54:59,-,-,-,-,-,-,-
07/09/2023,09:55:00,-,-,-,-,-,-,-
07/09/2023,09:55:01,-,-,-,-,-,-,-
07/09/2023,09:55:55,-,-,-,-,-,-,-
07/09/2023,09:55:56,-,-,-,-,-,-,-
07/09/2023,09:55:57,-,-,-,-,-,-,-
07/09/2023,09:55:58,-,-,-,-,-,-,-
07/09/2023,09:55:59,-,-,-,-,-,-,-
07/09/2023,09:56:00,-,-,-,-,-,-,-
07/09/2023,09:56:01,-,-,-,-,-,-,-
07/09/2023,09:56:02,-,-,-,-,-,-,-
07/09/2023,09:56:03,-,-,-,-,-,-,-
07/09/2023,09:56:04,-,-,-,-,-,-,-
